"question","answer"
"How can I list all queues with message details?","rabbitmqadmin list queues name messages_ready messages_unacknowledged"
"How do I list all exchanges in RabbitMQ?","rabbitmqadmin list exchanges name type"
"How can I see bindings for a specific exchange?","rabbitmqadmin list bindings source_name destination_name routing_key"
"How do I check the cluster status?","rabbitmqadmin show overview"
"How can I view the RabbitMQ node status?","rabbitmqadmin status <node-name>"  // <node-name> is the name of the node
"How do I list all active connections to RabbitMQ?","rabbitmqadmin list connections"
"How can I view detailed information about channels?","rabbitmqadmin list channels"
"How do I monitor message statistics for a specific queue?","rabbitmqadmin list queues name messages_publish_rate messages_deliver_rate"
"How can I list all RabbitMQ users?","rabbitmqadmin list users"
"How do I view permissions for RabbitMQ users?","rabbitmqadmin list permissions"
"How can I see all defined RabbitMQ policies?","rabbitmqadmin list policies"
"How do I peek into a specific queue to see messages?","rabbitmqadmin get messages <queue-name> count=10"
"How can I delete a problematic queue?","rabbitmqadmin delete queue <queue-name>"
"How do I run diagnostics on a RabbitMQ node?","rabbitmqadmin show overview"
"How can I check if alarms are raised on a RabbitMQ node?","There isn't a direct rabbitmqadmin command.  Use the HTTP API directly for alarms."
"How do I check the health of a RabbitMQ node?","rabbitmqadmin declare policy name=node_health_check pattern='' definition='{\"ha-mode\": \"all\", \"ha-sync-mode\": \"automatic\"}' apply-to=all priority=0; rabbitmqadmin list policies"
"How can I check memory usage on the RabbitMQ node?","rabbitmqadmin status | grep 'Memory'"
"How do I reset a RabbitMQ node?","There is no direct equivalent. Resetting requires stopping and restarting the node."
"How can I stop a RabbitMQ application on a node?","rabbitmqadmin stop_app <node-name>" // <node-name> is the name of the node
"How do I start a RabbitMQ application on a node?","rabbitmqadmin start_app <node-name>" // <node-name> is the name of the node
"How can I forcefully disconnect a specific connection?","rabbitmqadmin close_connection <connection-name>"
"How do I list all queues with their consumer counts?","rabbitmqadmin list queues name consumers"
"How can I add a user to RabbitMQ?","rabbitmqadmin declare user name=<username> password=<password> tags=<tags>"
"How do I delete a RabbitMQ user?","rabbitmqadmin delete user name=<username>"
"How can I set permissions for a RabbitMQ user?","rabbitmqadmin set_permissions -v <vhost> -u <username> configure='<configure>' write='<write>' read='<read>'"
"How do I change a RabbitMQ user's password?","rabbitmqadmin change_password <username> <new-password>"
"How can I enable tracing in RabbitMQ?","rabbitmqadmin trace_on"
"How do I disable tracing in RabbitMQ?","rabbitmqadmin trace_off"
"How can I list all virtual hosts in RabbitMQ?","rabbitmqadmin list vhosts"
"How do I create a new virtual host in RabbitMQ?","rabbitmqadmin add vhost <vhost-name>"
"How can I delete a virtual host in RabbitMQ?","rabbitmqadmin delete vhost <vhost-name>"
"How do I list all consumers for a specific queue?","rabbitmqadmin list consumers"
