"question","answer"
"CPU Usage per Namespace","sum(rate(container_cpu_usage_seconds_total{job=""kubelet"", image!="""", namespace=~"".+""}[5m])) by (namespace)"
"Memory Usage per Namespace","sum(container_memory_usage_bytes{job=""kubelet"", image!="""", namespace=~"".+""}) by (namespace)"
"Pod Restarts per Namespace","sum(rate(kube_pod_container_status_restarts_total{job=""kube-state-metrics""}[5m])) by (namespace)"
"Node CPU Usage","sum(rate(node_cpu_seconds_total{mode!=""idle""}[5m])) by (instance)"
"Node Memory Usage","node_memory_MemAvailable_bytes{job=""node-exporter""} / node_memory_MemTotal_bytes{job=""node-exporter""} * 100"
"Running Pods per Node","count(kube_pod_info{node=~"".+""}) by (node)"
"Disk Space Usage per Node","node_filesystem_size_bytes{job=""node-exporter"",fstype!=""rootfs""} - node_filesystem_avail_bytes{job=""node-exporter"",fstype!=""rootfs""}"
"Network Traffic per Pod","sum(rate(container_network_receive_bytes_total{job=""kubelet"", namespace=~"".+""}[5m])) by (namespace, pod) + sum(rate(container_network_transmit_bytes_total{job=""kubelet"", namespace=~"".+""}[5m])) by (namespace, pod)"
"Pod CPU Usage","sum(rate(container_cpu_usage_seconds_total{job=""kubelet"", image!="""", pod=~"".+""}[5m])) by (namespace, pod)"
"Pod Memory Usage","sum(container_memory_usage_bytes{job=""kubelet"", image!="""", pod=~"".+""}) by (namespace, pod)"
"Node Disk I/O","rate(node_disk_io_time_seconds_total{job=""node-exporter""}[5m])"
"Pods in Pending State","count(kube_pod_status_phase{job=""kube-state-metrics"", phase=""Pending""}) by (namespace)"
"Pods in Failed State","count(kube_pod_status_phase{job=""kube-state-metrics"", phase=""Failed""}) by (namespace)"
"Pods in Running State","count(kube_pod_status_phase{job=""kube-state-metrics"", phase=""Running""}) by (namespace)"
"Container Restarts per Pod","sum(rate(kube_pod_container_status_restarts_total{job=""kube-state-metrics"", namespace=~"".+""}[5m])) by (namespace, pod)"
"Total CPU Usage Across All Nodes","sum(rate(container_cpu_usage_seconds_total{job=""kubelet""}[5m]))"
"Total Memory Usage Across All Nodes","sum(container_memory_usage_bytes{job=""kubelet""})"
"CPU Usage per Node","sum(rate(container_cpu_usage_seconds_total{job=""kubelet""}[5m])) by (node)"
"Memory Usage per Node","sum(container_memory_usage_bytes{job=""kubelet""}) by (node)"
"Pod CPU Throttling","sum(rate(container_cpu_cfs_throttled_seconds_total{job=""kubelet""}[5m])) by (pod)"
"Node Filesystem Usage Percentage","(node_filesystem_size_bytes{job=""node-exporter""} - node_filesystem_avail_bytes{job=""node-exporter""}) / node_filesystem_size_bytes{job=""node-exporter""} * 100"
"Node Inodes Usage Percentage","(node_filesystem_files{job=""node-exporter""} - node_filesystem_files_free{job=""node-exporter""}) / node_filesystem_files{job=""node-exporter""} * 100"
"Network Errors per Node","rate(node_network_receive_errs_total{job=""node-exporter""}[5m]) + rate(node_network_transmit_errs_total{job=""node-exporter""}[5m])"
"Network Dropped Packets per Node","rate(node_network_receive_drop_total{job=""node-exporter""}[5m]) + rate(node_network_transmit_drop_total{job=""node-exporter""}[5m])"
"Network Traffic per Node","sum(rate(node_network_receive_bytes_total{job=""node-exporter""}[5m])) by (instance) + sum(rate(node_network_transmit_bytes_total{job=""node-exporter""}[5m])) by (instance)"
"Pod Disk Read I/O","sum(rate(container_fs_reads_bytes_total{job=""kubelet""}[5m])) by (namespace, pod)"
"Pod Disk Write I/O","sum(rate(container_fs_writes_bytes_total{job=""kubelet""}[5m])) by (namespace, pod)"
"Node Disk Read I/O","sum(rate(node_disk_read_bytes_total{job=""node-exporter""}[5m])) by (instance)"
"Node Disk Write I/O","sum(rate(node_disk_written_bytes_total{job=""node-exporter""}[5m])) by (instance)"
"Number of Running Pods per Namespace","count(kube_pod_info{namespace=~"".+"", pod=~"".+""}) by (namespace)"
"Number of Pods per Node","count(kube_pod_info{node!=""""}) by (node)"
"Node CPU Utilization Percentage","100 - (avg by (instance) (rate(node_cpu_seconds_total{job=""node-exporter"", mode=""idle""}[5m])) * 100)"
"Total Network Traffic in Bytes Across All Pods","sum(rate(container_network_receive_bytes_total{job=""kubelet""}[5m])) + sum(rate(container_network_transmit_bytes_total{job=""kubelet""}[5m]))"
"Pod Memory Limit Usage","sum(container_memory_working_set_bytes{job=""kubelet""}) by (pod, namespace)"
