"question","answer"
"Get EC2 instance status.","`aws ec2 describe-instances`"
"EC2 instance unreachable. Network troubleshooting?","`aws ec2 describe-network-interfaces`, `aws ec2 describe-security-groups`, `aws ec2 describe-network-acls`"
"Increase EBS volume size.","`aws ec2 modify-volume --volume-id <volume-id> --size <new-size>`"
"Make S3 bucket public.","`aws s3api put-bucket-acl --bucket <bucket-name> --acl public-read`"
"See Lambda function metrics.","`aws cloudwatch get-metric-statistics`"
"Extend Lambda timeout.","`aws lambda update-function-configuration --function-name <function-name> --timeout <new-timeout>`"
"Debug RDS connection problems.","`aws rds describe-db-instances`, `aws rds describe-db-security-groups`"
"Boost DynamoDB capacity.","`aws dynamodb update-table --table-name <table-name> --provisioned-throughput ...`"
"Show CloudWatch logs.","`aws logs get-log-events --log-group-name <log-group-name> --log-stream-name <log-stream-name>`"
"Create high-CPU alarm for EC2.","`aws cloudwatch put-metric-alarm`"
"Get IAM user details.","`aws iam get-user`"
"Grant S3 bucket access to another account.","`aws s3api put-bucket-policy`"
"Show CloudFormation events.","`aws cloudformation describe-stack-events --stack-name <stack-name>`"
"Update CloudFormation stack (new template).","`aws cloudformation update-stack --stack-name <stack-name> --template-body <template-body or template-url>`"
"Find EC2 instance's public IP.","`aws ec2 describe-instances` (parse output)"
"List S3 buckets.","`aws s3 ls`"
"Delete an S3 bucket.","`aws s3 rb s3://bucket-name --force`"
"Copy local file to S3.","`aws s3 cp localfile s3://bucket/remotefile`"
"Estimate AWS costs.","`aws ce get-cost-and-usage`"
"List all running EC2 instances.","`aws ec2 describe-instances --filters Name=instance-state-name,Values=running`"
"Stop an EC2 instance.","`aws ec2 stop-instances --instance-ids <instance-id>`"
"Start an EC2 instance.","`aws ec2 start-instances --instance-ids <instance-id>`"
"Terminate an EC2 instance.","`aws ec2 terminate-instances --instance-ids <instance-id>`"
"Create a new S3 bucket.","`aws s3 mb s3://bucket-name`"
"List objects in an S3 bucket.","`aws s3 ls s3://bucket-name`"
"Download an object from S3.","`aws s3 cp s3://bucket/object localfile`"
"Delete an object from S3.","`aws s3 rm s3://bucket/object`"
"Get Lambda function configuration.","`aws lambda get-function-configuration --function-name <function-name>`"
"Invoke a Lambda function.","`aws lambda invoke --function-name <function-name>`"
"List CloudWatch alarms.","`aws cloudwatch describe-alarms`"
"Delete a CloudWatch alarm.","`aws cloudwatch delete-alarms --alarm-names <alarm-name>`"
"List IAM users.","`aws iam list-users`"
"Create a new IAM user.","`aws iam create-user --user-name <user-name>`"
"Delete an IAM user.","`aws iam delete-user --user-name <user-name>`"
"List CloudFormation stacks.","`aws cloudformation describe-stacks`"
"Delete a CloudFormation stack.","`aws cloudformation delete-stack --stack-name <stack-name>`"
"Get the latest version of the AWS CLI.","Use your system's package manager (e.g., `pip install --upgrade awscli`)"  // Special case
"Configure AWS CLI credentials.","`aws configure`" // Special case
"Get help on an AWS CLI command.","`aws <command> help`"
"List available AWS CLI commands.","`aws help`"
"View EC2 instance console output.","`aws ec2 get-console-output --instance-id <instance-id>`"
"Reboot an EC2 instance.","`aws ec2 reboot-instances --instance-ids <instance-id>`"
"Create a new security group.","`aws ec2 create-security-group`"
"Add an inbound rule to a security group.","`aws ec2 authorize-security-group-ingress`"
"Remove an inbound rule from a security group.","`aws ec2 revoke-security-group-ingress`"
"List DynamoDB tables.","`aws dynamodb list-tables`"
"Describe a DynamoDB table.","`aws dynamodb describe-table --table-name <table-name>`"
"Create a DynamoDB table.","`aws dynamodb create-table`"
"Delete a DynamoDB table.","`aws dynamodb delete-table --table-name <table-name>`"
"List available regions.","`aws ec2 describe-regions`"
"Change the default AWS region.","Modify the `AWS_DEFAULT_REGION` environment variable or use the `--region` option with CLI commands."
"List all available AWS services.","No single CLI command; check the AWS documentation." // Special case
"Get the ARN of a resource.","Use the appropriate `describe` or `list` command for the resource type."
"List CloudTrail events.","`aws cloudtrail lookup-events`"
"Enable CloudTrail logging.","`aws cloudtrail create-trail`"
"Check for updates to the AWS CLI.","Check your system's package manager (e.g., `pip list --outdated awscli`)"
"Get details of an S3 object.","`aws s3api head-object --bucket <bucket-name> --key <object-key>`"
"Change S3 object storage class.","`aws s3api copy-object --bucket <bucket-name> --copy-source <bucket-name>/<object-key> --key <object-key> --storage-class <storage-class>`"
"Generate a pre-signed URL for an S3 object.","`aws s3 presign s3://<bucket-name>/<object-key>`"
"Sync a local directory to S3.","`aws s3 sync localdir s3://bucket-name/remotedir`"
"List EC2 key pairs.","`aws ec2 describe-key-pairs`"
"Create an EC2 key pair.","`aws ec2 create-key-pair --key-name <key-name>`"
"Import an EC2 key pair.","`aws ec2 import-key-pair --key-name <key-name> --public-key-material <public-key-material>`"
"Delete an EC2 key pair.","`aws ec2 delete-key-pair --key-name <key-name>`"
"List EC2 security groups.","`aws ec2 describe-security-groups`"
"Delete a security group.","`aws ec2 delete-security-group --group-id <security-group-id>`"
"List EC2 instances with a specific tag.","`aws ec2 describe-instances --filters 'Name=tag:Name,Values=<tag-value>'`"
"Tag an EC2 instance.","`aws ec2 create-tags --resources <instance-id> --tags Key=Name,Value=<tag-value>`"
"Remove a tag from an EC2 instance.","`aws ec2 delete-tags --resources <instance-id> --tags Key=Name`"
"List subnets in a VPC.","`aws ec2 describe-subnets`"
"Create a subnet.","`aws ec2 create-subnet`"
"Delete a subnet.","`aws ec2 delete-subnet --subnet-id <subnet-id>`"
"List VPCs.","`aws ec2 describe-vpcs`"
"Create a VPC.","`aws ec2 create-vpc`"
"Delete a VPC.","`aws ec2 delete-vpc --vpc-id <vpc-id>`"
"List Lambda functions.","`aws lambda list-functions`"
"Create a Lambda function.","`aws lambda create-function`"
"Update Lambda function code.","`aws lambda update-function-code --function-name <function-name> --zip-file fileb://function.zip`"
"Delete a Lambda function.","`aws lambda delete-function --function-name <function-name>`"
"List RDS instances.","`aws rds describe-db-instances`"
"Create an RDS instance.","`aws rds create-db-instance`"
"Delete an RDS instance.","`aws rds delete-db-instance`"
"Get CloudWatch log insights.","`aws logs start-query`"
"List CloudWatch dashboards.","`aws cloudwatch list-dashboards`"
"Get details of a CloudWatch metric.","`aws cloudwatch get-metric-data`"
"List IAM groups.","`aws iam list-groups`"
"Create an IAM group.","`aws iam create-group --group-name <group-name>`"
"Add a user to an IAM group.","`aws iam add-user-to-group --group-name <group-name> --user-name <user-name>`"
"Delete an IAM group.","`aws iam delete-group --group-name <group-name>`"
"List IAM policies.","`aws iam list-policies`"
"Create an IAM policy.","`aws iam create-policy --policy-name <policy-name> --policy-document <policy-document>`"
"Attach an IAM policy to a user.","`aws iam attach-user-policy --user-name <user-name> --policy-arn <policy-arn>`"
"Detach an IAM policy from a user.","`aws iam detach-user-policy --user-name <user-name> --policy-arn <policy-arn>`"
"Delete an IAM policy.","`aws iam delete-policy --policy-arn <policy-arn>`"
"List DynamoDB tables in a specific region.","`aws dynamodb list-tables --region <region>`"
"List ECR repositories.","`aws ecr describe-repositories`"  // Lists available ECR repositories
"Create an ECR repository.","`aws ecr create-repository --repository-name <repository-name>`" // Creates a new repository
"Delete an ECR repository.","`aws ecr delete-repository --repository-name <repository-name>`"  // Deletes a repository (must be empty)
"Push an image to ECR.","`docker tag <local-image>:<tag> <account_id>.dkr.ecr.<region>.amazonaws.com/<repository-name>:<tag>` followed by `docker push <account_id>.dkr.ecr.<region>.amazonaws.com/<repository-name>:<tag>`" // Pushes a local Docker image to ECR
