"question","answer"
"Get the current month's cost.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d)`"
"Get the previous month's cost.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d)`"
"Get daily cost for the last 7 days.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -v -7d +%Y-%m-%d) --end-date=$(date +%Y-%m-%d) --granularity=DAILY`"
"Get cost for a specific project for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='project_id:<project-id>'`"
"Get cost for a specific region (e.g., us-central1) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='location:us-central1'`"
"Get cost for a specific label (e.g., environment:prod) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='labels:environment=prod'`"
"Get cost for a specific label (e.g., project:myproject) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='labels:project=myproject'`"
"Get cost for a specific label (e.g., costcenter:1234) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='labels:costcenter=1234'`"
"Get cost for a specific service (e.g., Compute Engine) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='service_id:services/compute'`"
"Get cost for a specific SKU (e.g., N1 Predefined Instance Core running in Americas) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='sku_id:sku/0000-0000-0000'`"
"Get cost for a specific resource type (e.g., compute.googleapis.com/Instance) for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='resource_type:compute.googleapis.com/Instance'`"
"Get cost for a specific resource name for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='resource_name:<resource-name>'`"
"Get cost for a specific credit type for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='credit_type:<credit-type>'`"
"Get cost for a specific invoice ID for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='invoice_id:<invoice-id>'`"
"Get cost for a specific currency for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='currency:<currency>'`"
"Get cost for a specific usage type for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='usage_type:<usage-type>'`"
"Get cost for a specific usage unit for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='usage_unit:<usage-unit>'`"
"Get cost for a specific project ID for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='project_id:<project-id>'`"
"Get cost for a specific project number for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='project_number:<project-number>'`"
"Get cost for a specific billing account ID for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_account_id:<billing-account-id>'`"
"Get cost for a specific billing subaccount ID for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_id:<billing-subaccount-id>'`"
"Get cost for a specific billing subaccount name for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_name:<billing-subaccount-name>'`"
"Get cost for a specific billing account name for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_account_name:<billing-account-name>'`"
"Get cost for a specific billing account type for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_account_type:<billing-account-type>'`"
"Get cost for a specific billing account status for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_account_status:<billing-account-status>'`"
"Get cost for a specific billing account creation time for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_account_creation_time:<billing-account-creation-time>'`"
"Get cost for a specific billing account update time for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_account_update_time:<billing-account-update-time>'`"
"Get cost for a specific billing subaccount creation time for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_creation_time:<billing-subaccount-creation-time>'`"
"Get cost for a specific billing subaccount update time for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_update_time:<billing-subaccount-update-time>'`"
"Get cost for a specific billing subaccount status for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_status:<billing-subaccount-status>'`"
