18854:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         65998        9363104  [B (java.base@21.0.6)
   2:         63116        1514784  java.lang.String (java.base@21.0.6)
   3:         15591        1332424  [Ljava.lang.Object; (java.base@21.0.6)
   4:         10904        1293888  java.lang.Class (java.base@21.0.6)
   5:          3875         716768  [I (java.base@21.0.6)
   6:         21882         700224  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
   7:         16851         674040  java.util.LinkedHashMap$Entry (java.base@21.0.6)
   8:          6337         540248  [Ljava.util.HashMap$Node; (java.base@21.0.6)
   9:          8222         526208  java.util.LinkedHashMap (java.base@21.0.6)
  10:          6293         343800  [C (java.base@21.0.6)
  11:          6623         317904  java.util.HashMap (java.base@21.0.6)
  12:         12802         307248  java.util.ArrayList (java.base@21.0.6)
  13:          8071         258272  java.util.HashMap$Node (java.base@21.0.6)
  14:           335         212888  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
  15:          7304         175296  io.opentelemetry.javaagent.tooling.muzzle.references.Source
  16:         10736         171776  java.lang.Object (java.base@21.0.6)
  17:          4060         162400  java.lang.ref.SoftReference (java.base@21.0.6)
  18:          6010         144240  io.opentelemetry.javaagent.tooling.util.TrieImpl$Node
  19:          6010         142848  [Lio.opentelemetry.javaagent.tooling.util.TrieImpl$Node;
  20:            46         139744  [Z (java.base@21.0.6)
  21:          5220         125280  java.util.Arrays$ArrayList (java.base@21.0.6)
  22:          7021         112336  java.util.LinkedHashSet (java.base@21.0.6)
  23:          2331         111888  java.lang.invoke.MemberName (java.base@21.0.6)
  24:          1158         101904  java.lang.reflect.Method (java.base@21.0.6)
  25:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
  26:          3423          82152  io.opentelemetry.javaagent.tooling.HelperClassDefinition
  27:          3408          81792  net.bytebuddy.description.ByteCodeElement$Token$TokenList
  28:          1420          79520  net.bytebuddy.description.method.MethodDescription$Token
  29:          3266          78384  net.bytebuddy.description.annotation.AnnotationList$ForLoadedAnnotations
  30:          1905          76200  java.lang.invoke.MethodType (java.base@21.0.6)
  31:          3139          75336  io.opentelemetry.javaagent.tooling.BytecodeWithUrl$Lazy
  32:          2903          69672  net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType
  33:          2699          64776  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.6)
  34:          1012          64768  java.util.concurrent.ConcurrentHashMap (java.base@21.0.6)
  35:           849          61128  io.netty.buffer.PoolSubpage
  36:          1907          61024  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  37:          1846          59072  net.bytebuddy.description.method.ParameterDescription$Token
  38:           717          57360  net.bytebuddy.pool.TypePool$Default$LazyTypeDescription$MethodToken
  39:          1658          53056  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.6)
  40:          1854          52536  [Ljava.lang.Class; (java.base@21.0.6)
  41:          1348          43136  io.opentelemetry.javaagent.tooling.muzzle.references.MethodRef
  42:          1061          42288  [Ljava.lang.String; (java.base@21.0.6)
  43:          1747          41928  net.bytebuddy.matcher.StringMatcher
  44:          1603          38472  java.lang.invoke.ResolvedMethodName (java.base@21.0.6)
  45:          1576          37824  net.bytebuddy.description.type.TypeList$Generic$Explicit
  46:           454          34504  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
  47:          1068          34176  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
  48:           710          34080  net.bytebuddy.agent.builder.AgentBuilder$Transformer$ForAdvice
  49:          1063          34016  sun.util.locale.BaseLocale (java.base@21.0.6)
  50:          1053          33696  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
  51:          1044          33408  sun.util.locale.BaseLocale$Key (java.base@21.0.6)
  52:           994          31808  net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$Latent
  53:          1873          29968  net.bytebuddy.matcher.NameMatcher
  54:           874          27968  java.lang.ref.WeakReference (java.base@21.0.6)
  55:          1708          27328  [Ljava.lang.annotation.Annotation; (java.base@21.0.6)
  56:           853          27296  sun.reflect.annotation.AnnotatedTypeFactory$AnnotatedTypeBaseImpl (java.base@21.0.6)
  57:           284          27264  net.bytebuddy.dynamic.scaffold.InstrumentedType$Default
  58:          1132          27168  io.opentelemetry.javaagent.tooling.util.NamedMatcher
  59:           658          26320  java.lang.invoke.DirectMethodHandle (java.base@21.0.6)
  60:          1595          25520  java.util.concurrent.atomic.AtomicReference (java.base@21.0.6)
  61:          1577          25232  net.bytebuddy.matcher.NegatingMatcher
  62:           628          25120  io.opentelemetry.javaagent.tooling.muzzle.references.ClassRef
  63:           990          23760  io.opentelemetry.javaagent.tooling.bytebuddy.LoggingFailSafeMatcher
  64:          1478          23648  net.bytebuddy.dynamic.ClassFileLocator$ForClassLoader
  65:           561          22440  java.lang.Package$VersionInfo (java.base@21.0.6)
  66:          1326          21216  net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction
  67:           825          19800  net.bytebuddy.pool.TypePool$Default$LazyTypeDescription$MethodToken$ParameterToken
  68:           615          19680  java.lang.Package (java.base@21.0.6)
  69:            15          19568  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.6)
  70:           487          19480  [Ljava.lang.Enum; (java.base@21.0.6)
  71:           783          18792  net.bytebuddy.agent.builder.AgentBuilder$RawMatcher$ForElementMatchers
  72:           385          18480  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.6)
